buying,maint,doors,persons,trunk,safety,acceptability
vhigh,vhigh,2,2,pequeño,low,unacc
vhigh,vhigh,2,2,pequeño,med,unacc
vhigh,vhigh,2,2,pequeño,high,unacc
vhigh,vhigh,2,2,mediano,low,unacc
vhigh,vhigh,2,2,mediano,med,unacc
vhigh,vhigh,2,2,mediano,high,unacc
vhigh,vhigh,2,2,grande,low,unacc
vhigh,vhigh,2,2,grande,med,unacc
vhigh,vhigh,2,2,grande,high,unacc
vhigh,vhigh,2,4,pequeño,low,unacc
vhigh,vhigh,2,4,pequeño,med,unacc
vhigh,vhigh,2,4,pequeño,high,unacc
vhigh,vhigh,2,4,mediano,low,unacc
vhigh,vhigh,2,4,mediano,med,unacc
vhigh,vhigh,2,4,mediano,high,unacc
vhigh,vhigh,2,4,grande,low,unacc
vhigh,vhigh,2,4,grande,med,unacc
vhigh,vhigh,2,4,grande,high,unacc
vhigh,vhigh,2,more,pequeño,low,unacc
vhigh,vhigh,2,more,pequeño,med,unacc
vhigh,vhigh,2,more,pequeño,high,unacc
vhigh,vhigh,2,more,mediano,low,unacc
vhigh,vhigh,2,more,mediano,med,unacc
vhigh,vhigh,2,more,mediano,high,unacc
vhigh,vhigh,2,more,grande,low,unacc
vhigh,vhigh,2,more,grande,med,unacc
vhigh,vhigh,2,more,grande,high,unacc
vhigh,vhigh,3,2,pequeño,low,unacc
vhigh,vhigh,3,2,pequeño,med,unacc
vhigh,vhigh,3,2,pequeño,high,unacc
vhigh,vhigh,3,2,mediano,low,unacc
vhigh,vhigh,3,2,mediano,med,unacc
vhigh,vhigh,3,2,mediano,high,unacc
vhigh,vhigh,3,2,grande,low,unacc
vhigh,vhigh,3,2,grande,med,unacc
vhigh,vhigh,3,2,grande,high,unacc
vhigh,vhigh,3,4,pequeño,low,unacc
vhigh,vhigh,3,4,pequeño,med,unacc
vhigh,vhigh,3,4,pequeño,high,unacc
vhigh,vhigh,3,4,mediano,low,unacc
vhigh,vhigh,3,4,mediano,med,unacc
vhigh,vhigh,3,4,mediano,high,unacc
vhigh,vhigh,3,4,grande,low,unacc
vhigh,vhigh,3,4,grande,med,unacc
vhigh,vhigh,3,4,grande,high,unacc
vhigh,vhigh,3,more,pequeño,low,unacc
vhigh,vhigh,3,more,pequeño,med,unacc
vhigh,vhigh,3,more,pequeño,high,unacc
vhigh,vhigh,3,more,mediano,low,unacc
vhigh,vhigh,3,more,mediano,med,unacc
vhigh,vhigh,3,more,mediano,high,unacc
vhigh,vhigh,3,more,grande,low,unacc
vhigh,vhigh,3,more,grande,med,unacc
vhigh,vhigh,3,more,grande,high,unacc
vhigh,vhigh,4,2,pequeño,low,unacc
vhigh,vhigh,4,2,pequeño,med,unacc
vhigh,vhigh,4,2,pequeño,high,unacc
vhigh,vhigh,4,2,mediano,low,unacc
vhigh,vhigh,4,2,mediano,med,unacc
vhigh,vhigh,4,2,mediano,high,unacc
vhigh,vhigh,4,2,grande,low,unacc
vhigh,vhigh,4,2,grande,med,unacc
vhigh,vhigh,4,2,grande,high,unacc
vhigh,vhigh,4,4,pequeño,low,unacc
vhigh,vhigh,4,4,pequeño,med,unacc
vhigh,vhigh,4,4,pequeño,high,unacc
vhigh,vhigh,4,4,mediano,low,unacc
vhigh,vhigh,4,4,mediano,med,unacc
vhigh,vhigh,4,4,mediano,high,unacc
vhigh,vhigh,4,4,grande,low,unacc
vhigh,vhigh,4,4,grande,med,unacc
vhigh,vhigh,4,4,grande,high,unacc
vhigh,vhigh,4,more,pequeño,low,unacc
vhigh,vhigh,4,more,pequeño,med,unacc
vhigh,vhigh,4,more,pequeño,high,unacc
vhigh,vhigh,4,more,mediano,low,unacc
vhigh,vhigh,4,more,mediano,med,unacc
vhigh,vhigh,4,more,mediano,high,unacc
vhigh,vhigh,4,more,grande,low,unacc
vhigh,vhigh,4,more,grande,med,unacc
vhigh,vhigh,4,more,grande,high,unacc
vhigh,vhigh,5more,2,pequeño,low,unacc
vhigh,vhigh,5more,2,pequeño,med,unacc
vhigh,vhigh,5more,2,pequeño,high,unacc
vhigh,vhigh,5more,2,mediano,low,unacc
vhigh,vhigh,5more,2,mediano,med,unacc
vhigh,vhigh,5more,2,mediano,high,unacc
vhigh,vhigh,5more,2,grande,low,unacc
vhigh,vhigh,5more,2,grande,med,unacc
vhigh,vhigh,5more,2,grande,high,unacc
vhigh,vhigh,5more,4,pequeño,low,unacc
vhigh,vhigh,5more,4,pequeño,med,unacc
vhigh,vhigh,5more,4,pequeño,high,unacc
vhigh,vhigh,5more,4,mediano,low,unacc
vhigh,vhigh,5more,4,mediano,med,unacc
vhigh,vhigh,5more,4,mediano,high,unacc
vhigh,vhigh,5more,4,grande,low,unacc
vhigh,vhigh,5more,4,grande,med,unacc
vhigh,vhigh,5more,4,grande,high,unacc
vhigh,vhigh,5more,more,pequeño,low,unacc
vhigh,vhigh,5more,more,pequeño,med,unacc
vhigh,vhigh,5more,more,pequeño,high,unacc
vhigh,vhigh,5more,more,mediano,low,unacc
vhigh,vhigh,5more,more,mediano,med,unacc
vhigh,vhigh,5more,more,mediano,high,unacc
vhigh,vhigh,5more,more,grande,low,unacc
vhigh,vhigh,5more,more,grande,med,unacc
vhigh,vhigh,5more,more,grande,high,unacc
vhigh,high,2,2,pequeño,low,unacc
vhigh,high,2,2,pequeño,med,unacc
vhigh,high,2,2,pequeño,high,unacc
vhigh,high,2,2,mediano,low,unacc
vhigh,high,2,2,mediano,med,unacc
vhigh,high,2,2,mediano,high,unacc
vhigh,high,2,2,grande,low,unacc
vhigh,high,2,2,grande,med,unacc
vhigh,high,2,2,grande,high,unacc
vhigh,high,2,4,pequeño,low,unacc
vhigh,high,2,4,pequeño,med,unacc
vhigh,high,2,4,pequeño,high,unacc
vhigh,high,2,4,mediano,low,unacc
vhigh,high,2,4,mediano,med,unacc
vhigh,high,2,4,mediano,high,unacc
vhigh,high,2,4,grande,low,unacc
vhigh,high,2,4,grande,med,unacc
vhigh,high,2,4,grande,high,unacc
vhigh,high,2,more,pequeño,low,unacc
vhigh,high,2,more,pequeño,med,unacc
vhigh,high,2,more,pequeño,high,unacc
vhigh,high,2,more,mediano,low,unacc
vhigh,high,2,more,mediano,med,unacc
vhigh,high,2,more,mediano,high,unacc
vhigh,high,2,more,grande,low,unacc
vhigh,high,2,more,grande,med,unacc
vhigh,high,2,more,grande,high,unacc
vhigh,high,3,2,pequeño,low,unacc
vhigh,high,3,2,pequeño,med,unacc
vhigh,high,3,2,pequeño,high,unacc
vhigh,high,3,2,mediano,low,unacc
vhigh,high,3,2,mediano,med,unacc
vhigh,high,3,2,mediano,high,unacc
vhigh,high,3,2,grande,low,unacc
vhigh,high,3,2,grande,med,unacc
vhigh,high,3,2,grande,high,unacc
vhigh,high,3,4,pequeño,low,unacc
vhigh,high,3,4,pequeño,med,unacc
vhigh,high,3,4,pequeño,high,unacc
vhigh,high,3,4,mediano,low,unacc
vhigh,high,3,4,mediano,med,unacc
vhigh,high,3,4,mediano,high,unacc
vhigh,high,3,4,grande,low,unacc
vhigh,high,3,4,grande,med,unacc
vhigh,high,3,4,grande,high,unacc
vhigh,high,3,more,pequeño,low,unacc
vhigh,high,3,more,pequeño,med,unacc
vhigh,high,3,more,pequeño,high,unacc
vhigh,high,3,more,mediano,low,unacc
vhigh,high,3,more,mediano,med,unacc
vhigh,high,3,more,mediano,high,unacc
vhigh,high,3,more,grande,low,unacc
vhigh,high,3,more,grande,med,unacc
vhigh,high,3,more,grande,high,unacc
vhigh,high,4,2,pequeño,low,unacc
vhigh,high,4,2,pequeño,med,unacc
vhigh,high,4,2,pequeño,high,unacc
vhigh,high,4,2,mediano,low,unacc
vhigh,high,4,2,mediano,med,unacc
vhigh,high,4,2,mediano,high,unacc
vhigh,high,4,2,grande,low,unacc
vhigh,high,4,2,grande,med,unacc
vhigh,high,4,2,grande,high,unacc
vhigh,high,4,4,pequeño,low,unacc
vhigh,high,4,4,pequeño,med,unacc
vhigh,high,4,4,pequeño,high,unacc
vhigh,high,4,4,mediano,low,unacc
vhigh,high,4,4,mediano,med,unacc
vhigh,high,4,4,mediano,high,unacc
vhigh,high,4,4,grande,low,unacc
vhigh,high,4,4,grande,med,unacc
vhigh,high,4,4,grande,high,unacc
vhigh,high,4,more,pequeño,low,unacc
vhigh,high,4,more,pequeño,med,unacc
vhigh,high,4,more,pequeño,high,unacc
vhigh,high,4,more,mediano,low,unacc
vhigh,high,4,more,mediano,med,unacc
vhigh,high,4,more,mediano,high,unacc
vhigh,high,4,more,grande,low,unacc
vhigh,high,4,more,grande,med,unacc
